x,y,z,t
5.91463,0.70122,0.24390,26.49033
6.79878,8.50610,-1.58537,26.59420
2.28659,2.34756,0.39634,26.69808
-0.73171,0.82317,0.57927,26.80195
2.77439,0.76220,0.51829,26.90586
-8.84146,-10.12195,38.41463,27.00978
6.15854,-2.37805,-0.97561,27.11370
-3.10976,-1.06707,0.09146,27.21760
0.88415,0.91463,-0.24390,27.32146
-0.54878,1.25000,0.85366,27.42537
13.17073,12.16463,-128.65854,27.52933
-42.34756,-13.10976,98.47561,27.63334
66.18902,-180.39634,-0.15244,27.73721
63.14024,-228.47561,-10.39634,27.84112
91.73780,-306.00610,-22.59146,27.94506
11.55488,-180.45732,-12.31707,28.04898
17.92683,-23.35366,-15.33537,28.15294
-44.84756,235.76220,78.35366,28.25690
-127.74390,399.35976,209.96951,28.36109
-98.81098,288.14024,150.15244,28.46518
-135.64024,216.28049,96.73780,28.56927
6.70732,-17.04268,-16.67683,28.67361
103.71951,-392.07317,-35.97561,28.77757
15.91463,-448.99390,-20.79268,28.88151
-4.87805,-293.90244,-73.87195,28.98546
-53.47561,-221.73780,-52.10366,29.08942
-82.56098,-14.17683,81.28049,29.19340
80.91463,230.30488,19.29878,29.29739
39.26829,339.69512,53.96341,29.40138
24.35976,299.54268,78.26220,29.50538
-52.25610,197.92683,77.89634,29.61038
-12.71341,116.34146,68.20122,29.71458
13.99390,-179.17683,60.51829,29.81916
70.79268,-27.07317,115.33537,29.92315
134.05488,147.77439,154.20732,30.02710
142.16463,-131.52439,125.42683,30.13109
186.43293,-307.98780,90.57927,30.23505
142.07317,-11.70732,0.00000,30.33899
-66.76829,-330.09146,-4.84756,30.44314
21.34146,-183.38415,-73.50610,30.54711
-132.13415,-235.64024,-16.28049,30.65109
-324.51220,-63.04878,124.66463,30.75507
-242.19512,13.07927,33.14024,30.85898
-247.13415,162.53049,257.07317,30.96290
-43.81098,134.66463,113.68902,31.06685
-48.68902,266.15854,250.06098,31.17082
95.60976,161.85976,137.37805,31.27479
55.33537,168.17073,175.06098,31.37875
177.46951,-63.47561,128.47561,31.48272
170.03049,-28.65854,183.29268,31.58667
99.75610,-92.28659,142.50000,31.69060
47.71341,-139.32927,42.46951,31.79454
-42.22561,-260.85366,-5.12195,31.89851
-25.15244,-241.52439,-72.98780,32.00247
-315.57927,-213.50610,118.26220,32.10642
-191.34146,-27.43902,43.65854,32.21035
-255.18293,119.29878,84.90854,32.31426
-99.23780,121.61585,109.90854,32.41822
-79.72561,146.09756,209.72561,32.52213
-53.38415,105.48780,143.99390,32.62606
36.61585,84.69512,153.29268,32.73006
127.43902,208.68902,136.70732,32.83405
190.48780,-14.69512,140.30488,32.93808
172.59146,-72.95732,153.38415,33.04204
67.86585,-50.00000,176.98171,33.14596
31.34146,-140.00000,60.73171,33.24990
-25.12195,-171.34146,36.52439,33.35386
65.73171,-227.68293,-58.50610,33.45786
-158.04878,-161.09756,50.79268,33.56181
-495.82317,-90.15244,212.01220,33.66572
-278.41463,122.62195,67.77439,33.76963
-278.65854,193.35366,169.60366,33.87355
-69.54268,59.96951,97.01220,33.97746
-18.07927,28.10976,-2.07317,34.08137
134.78659,-173.56707,19.78659,34.18529
170.33537,-282.80488,46.92073,34.28920
138.78049,-216.46341,55.45732,34.39311
150.91463,-73.35366,-55.12195,34.49703
-68.32317,55.64024,25.15244,34.60097
-121.89024,228.41463,-32.62195,34.70493
-131.12805,346.70732,-58.87195,34.80880
-130.70122,347.19512,-22.53049,34.91449
-100.91463,150.12195,64.29878,35.01839
97.22561,-123.20122,21.85976,35.12226
225.79268,-248.41463,96.64634,35.22615
106.79878,-263.14024,68.01829,35.33007
51.55488,-201.15854,77.28659,35.43401
52.10366,-2.98780,21.85976,35.53791
-107.10366,126.21951,-6.00610,35.64187
-224.72561,320.21341,-5.09146,35.74574
-152.89634,140.24390,107.19512,35.84964
-103.53659,202.16463,3.35366,35.95358
-58.62805,132.28659,-64.08537,36.05761
10.54878,-27.59146,63.93293,36.16195
215.57927,-272.53049,17.19512,36.26602
241.92073,-263.71951,-20.70122,36.37008
130.70122,-246.21951,22.65244,36.47416
102.31707,-83.01829,-8.35366,36.57810
-84.29878,65.91463,-8.04878,36.68203
-307.22561,198.93293,-54.02439,36.78595
-182.74390,221.28049,-44.35976,36.88988
-131.85976,225.79268,-49.75610,36.99386
-46.79878,133.62805,-4.60366,37.09777
87.92683,-77.25610,21.85976,37.20172
122.95732,-111.09756,144.35976,37.30566
265.82317,-188.99390,136.95122,37.41003
167.31707,-202.62195,10.91463,37.51413
140.48780,-50.57927,-24.14634,37.61810
-11.46341,15.57927,-23.78049,37.72207
-132.37805,69.87805,-148.53659,37.82610
-275.33537,217.10366,-78.96341,37.93005
-215.15244,182.68293,-8.90244,38.03399
-203.41463,126.82927,-15.76220,38.13793
-60.21341,32.34756,8.26220,38.24188
32.13415,-40.76220,77.19512,38.34585
95.70122,-138.87195,202.50000,38.45000
103.26220,-290.30488,132.65244,38.55442
195.64024,-16.31098,-28.59756,38.65839
113.17073,5.06098,21.31098,38.76237
-7.01220,31.52439,6.37195,38.86634
-93.10976,72.46951,-108.56707,38.97031
-323.68902,247.50000,-92.59146,39.07436
-150.03049,153.84146,-45.39634,39.17841
-255.70122,233.47561,-0.42683,39.28245
-3.41463,5.91463,-41.40244,39.38649
49.96951,-196.79878,148.29268,39.49046
257.04268,-386.31098,31.89024,39.59439
145.73171,-203.99390,87.16463,39.69832
98.56707,-31.46341,60.39634,39.80223
24.54268,-67.40854,74.29878,39.90613
-115.24390,81.82927,26.58537,40.01004
-357.01220,229.57317,21.98171,40.11394
-140.00000,97.53049,-87.16463,40.21789
-130.88415,147.04268,7.68293,40.32184
-57.22561,113.81098,-30.88415,40.42576
62.74390,-96.98171,42.31707,40.52972
167.77439,-171.15854,-21.09756,40.63364
-78.87195,-101.73780,-98.50610,40.73756
-214.57317,46.37195,-83.32317,40.84148
-18.41463,-181.06707,0.54878,40.94540
134.35976,-191.43293,40.88415,41.04930
23.96341,-15.60976,145.15244,41.15320
269.81707,75.33537,-23.47561,41.25711
349.20732,237.89634,-73.20122,41.36103
98.50610,313.47561,-1.03659,41.46497
-292.74390,246.92073,-155.57927,41.56893
-136.09756,-27.43902,-217.40854,41.67286
-179.35976,-25.97561,-174.29878,41.77678
-78.50610,-120.82317,-174.14634,41.88071
-51.28049,-125.97561,-120.76220,41.98462
353.81098,-272.74390,-134.72561,42.08854
148.35366,-258.96341,-53.01829,42.19245
173.04878,-6.70732,43.78049,42.29648
330.00000,200.91463,-58.87195,42.40048
1.55488,141.03659,-50.91463,42.50452
-142.56098,256.21951,-105.82317,42.60887
-211.25000,115.97561,-188.93293,42.71301
-25.51829,-19.72561,-191.18902,42.81695
-135.94512,-57.34756,-17.86585,42.92090
64.23780,-274.48171,-36.43293,43.02477
215.33537,-226.00610,3.65854,43.12869
159.17683,-277.95732,34.69512,43.23261
154.23780,32.25610,33.53659,43.33650
350.73171,191.00610,-129.81707,43.44047
127.56098,251.73780,-138.50610,43.54446
-63.23171,283.20122,-175.42683,43.64839
-218.81098,62.22561,-145.73171,43.75234
-185.03049,111.06707,-160.39634,43.85628
-54.84756,-53.81098,-129.45122,43.96021
120.18293,-165.91463,-104.20732,44.06413
179.60366,-282.89634,80.21341,44.16805
215.57927,-85.21341,8.56707,44.27201
252.19512,3.26220,-7.83537,44.37593
97.10366,193.96341,18.90244,44.47984
37.68293,285.64024,-88.23171,44.58382
-264.35976,58.04878,-81.98171,44.68776
-117.40854,34.17683,-135.57927,44.79170
-106.98171,-146.43293,6.43293,44.89561
246.12805,-610.64024,-138.68902,44.99955
70.94512,-169.66463,-5.33537,45.10352
-168.53659,135.03049,8.23171,45.20744
-188.01829,376.73780,-26.55488,45.31136
-171.85976,37.13415,26.43293,45.41527
39.54268,-66.43293,51.03659,45.51924
80.18293,-393.20122,-0.24390,45.62326
-35.79268,-152.10366,-11.61585,45.72724
-122.92683,79.84756,44.60366,45.83115
117.22561,324.60366,26.34146,45.93511
65.94512,-71.40244,-4.26829,46.03897
-6.52439,22.07317,6.98171,46.14291
16.73780,-3.50610,-1.21951,46.24686
9.17683,16.52439,-0.97561,46.35081
0.36585,-4.96951,-0.60976,46.45475
0.39634,6.40244,1.64634,46.55868
0.64024,2.80488,-0.48780,46.66272
4.23780,1.98171,-0.21341,46.76670
-13.35366,6.79878,14.23780,46.87067
56.40244,-24.02439,10.94512,46.97473
74.14634,74.87805,7.46951,47.07868
-35.64024,128.23171,-25.00000,47.18264
-65.27439,104.20732,-75.21341,47.28655
-170.30488,-10.64024,-122.71341,47.39050
-242.56098,-237.98780,-74.84756,47.49446
128.99390,-250.45732,-131.73780,47.59842
90.64024,-202.16463,39.60366,47.70236
187.46951,-141.58537,18.14024,47.80628
4.78659,-25.91463,148.14024,47.91019
132.01220,-1.25000,75.82317,48.01411
146.40244,199.87805,6.28049,48.11799
22.46951,129.66463,21.61585,48.22190
104.02439,396.28049,-100.67073,48.32587
-145.42683,165.30488,-125.51829,48.42981
-204.54268,62.19512,-98.93293,48.53369
-109.17683,-66.40244,-156.21951,48.63769
-71.85976,-252.46951,-39.29878,48.74201
209.69512,-447.68293,-30.67073,48.84606
107.74390,-126.70732,13.20122,48.95039
156.34146,-40.76220,36.31098,49.05437
89.96951,-14.17683,161.58537,49.15835
113.65854,117.28659,107.16463,49.26232
162.10366,317.77439,-70.70122,49.36630
0.06098,268.07927,-179.75610,49.47024
-67.77439,104.57317,-166.31098,49.57456
-29.29878,-22.04268,-203.29268,49.67860
-78.32317,-85.27439,-191.67683,49.78255
20.88415,-263.04878,-143.32317,49.88651
