x,y,z,t
12.60366,27.76220,23.62805,25.65856
14.46951,3.90244,-1.81707,25.76254
13.38414,-4.68293,-21.65854,25.86649
13.52439,-8.09756,-20.40244,25.97044
21.78658,-2.43293,-16.60366,26.07446
28.71341,-0.26219,-10.47561,26.17844
20.19512,10.51220,-3.98171,26.28245
21.78049,9.59147,-5.32317,26.38643
18.75000,5.94512,-1.75610,26.49033
10.50610,5.95122,-0.55488,26.59420
3.68902,3.21342,-0.61586,26.69808
3.12195,2.93293,-0.16464,26.80195
3.40854,2.62805,0.03049,26.90586
0.45732,0.46342,7.66463,27.00978
0.32927,-1.71341,7.78658,27.11370
-0.75000,-2.39634,7.72561,27.21760
-0.42683,-2.37805,7.56097,27.32146
-1.09146,-2.28049,7.62805,27.42537
3.31098,2.17683,-25.78659,27.52933
-6.39024,0.03049,-5.89634,27.63334
7.46951,-35.83537,-5.94512,27.73721
19.92073,-81.71342,-7.97561,27.84112
38.37805,-143.16464,-12.66463,27.94506
38.05488,-181.68903,10.60366,28.04898
50.10975,-183.73781,-12.15854,28.15294
27.90244,-100.50610,3.54268,28.25690
-10.27439,25.06098,47.61585,28.36109
-48.38415,143.89024,82.16463,28.46518
-77.82317,223.23781,103.97561,28.56927
-80.06707,224.50000,103.70732,28.67361
-50.35366,98.93293,80.84146,28.77757
-21.62195,-70.73780,34.68902,28.88151
-2.83537,-187.14634,-10.11585,28.98546
13.59756,-274.75000,-39.88415,29.08942
-4.25610,-274.17683,-20.29268,29.19340
-8.81708,-149.70122,-9.23780,29.29739
-4.14634,8.03659,5.71341,29.40138
1.70122,126.72561,36.14024,29.50538
1.94512,210.65854,62.14024,29.61038
15.91463,236.76219,59.52439,29.71458
2.53049,154.86585,67.76829,29.81916
8.83537,81.51219,80.04268,29.92315
30.77439,51.15854,95.23171,30.02710
69.65854,-14.73171,104.73781,30.13109
109.48780,-99.59756,109.21342,30.23505
135.10366,-66.10366,97.10976,30.33899
