x,y,z,t
-2.13415,0.70122,0.00000,24.43919
-2.13415,0.73171,0.09146,24.54326
-2.16463,0.73171,7.77439,24.64718
-2.13415,0.70122,-0.03049,24.75102
-2.04268,0.64024,-0.03049,24.85490
-2.19512,0.67073,0.06098,24.95879
-2.10366,0.76220,0.06098,25.06268
-2.10366,0.67073,0.03049,25.16658
-2.13415,0.73171,0.06098,25.27051
-2.07317,0.70122,0.03049,25.37444
-2.16463,0.70122,0.09146,25.47833
-2.10366,0.64024,0.06098,25.58225
-2.04268,0.76220,0.03049,25.68614
-2.07317,0.67073,-0.06098,25.79002
-2.10366,0.70122,0.03049,25.89385
-2.10366,0.79268,0.06098,25.99770
-2.10366,0.67073,0.15244,26.10156
-2.04268,0.82317,0.06098,26.20544
-2.10366,0.70122,0.03049,26.30930
-2.10366,0.70122,-0.03049,26.41334
-2.01220,0.76220,0.03049,26.51721
-2.10366,0.73171,0.03049,26.62106
-2.04268,0.76220,-0.03049,26.72491
-1.98171,0.67073,0.03049,26.82876
-2.04268,0.73171,0.09146,26.93264
-2.07317,0.67073,0.06098,27.03653
-2.04268,0.73171,0.03049,27.14042
-2.10366,0.73171,0.09146,27.24426
-2.07317,0.60976,0.06098,27.34813
-2.13415,0.70122,0.06098,27.45208
-2.07317,0.64024,0.06098,27.55605
-2.07317,0.64024,0.03049,27.65998
-2.04268,0.70122,0.12195,27.76399
-2.10366,0.64024,0.03049,27.86788
-2.13415,0.70122,0.09146,27.97174
-2.07317,0.70122,0.06098,28.07562
-2.13415,0.73171,0.09146,28.17947
-2.19512,0.79268,0.12195,28.28330
-2.07317,0.76220,0.15244,28.38714
-2.10366,0.79268,7.77439,28.49101
-2.07317,0.67073,0.12195,28.59484
-2.10366,0.70122,0.00000,28.69868
-2.16463,0.76220,0.03049,28.80254
-2.07317,0.76220,0.15244,28.90639
-2.07317,0.76220,-0.03049,29.01025
-2.07317,0.67073,0.00000,29.11412
-2.04268,0.64024,0.09146,29.21799
-2.07317,0.64024,-0.03049,29.32185
-2.10366,0.73171,7.77439,29.42573
-2.16463,0.82317,0.06098,29.52960
-2.07317,0.67073,0.00000,29.63346
-2.07317,0.70122,0.09146,29.73732
-2.10366,0.73171,0.09146,29.84121
-2.13415,0.73171,0.03049,29.94507
-2.07317,0.73171,0.15244,30.04892
-2.07317,0.57927,0.09146,30.15278
-2.10366,0.79268,0.00000,30.25669
-2.07317,0.70122,0.06098,30.36059
-2.19512,0.73171,0.06098,30.46448
-2.13415,0.79268,0.06098,30.56840
-2.10366,0.73171,0.09146,30.67231
-2.01220,0.70122,-0.03049,30.77627
-2.10366,0.76220,0.03049,30.88022
-2.10366,0.73171,0.09146,30.98413
-2.10366,0.79268,0.06098,31.08824
-2.13415,0.67073,0.12195,31.19218
-2.10366,0.76220,0.03049,31.29608
-2.13415,0.79268,0.15244,31.39997
-2.04268,0.67073,0.06098,31.50385
-2.10366,0.79268,0.06098,31.60776
-2.10366,0.67073,0.12195,31.71176
