x,y,z,t
-2.08537,0.70732,0.06708,34.82898
-2.08537,0.69512,0.07317,34.93285
-2.08537,0.68902,0.07927,35.03670
-2.06098,0.69512,0.06098,35.14060
-2.08537,0.68293,0.07317,35.24449
-2.10366,0.71341,0.07317,35.34838
-2.10976,0.72561,0.04268,35.45222
-2.11585,0.75610,0.03659,35.55614
-2.12195,0.75000,0.06098,35.66003
-2.09146,0.76829,0.04878,35.76401
-2.06098,0.76829,0.04878,35.86793
-2.04878,0.77439,0.06708,35.97179
-2.04268,0.76219,0.05488,36.07564
-2.06098,0.78049,0.05488,36.17950
-2.06707,0.77439,0.06098,36.28336
-2.09146,0.76220,0.06707,36.38722
-2.10366,0.73781,0.04268,36.49108
-2.09756,0.73781,0.04268,36.59499
-2.09146,0.73171,0.03659,36.69884
-2.11585,0.72561,0.04268,36.80272
-2.10366,0.72561,0.05488,36.90663
-2.09146,0.74391,0.07317,37.01051
-2.10366,0.73781,0.08537,37.11447
-2.09146,0.72561,0.10366,37.21844
-2.07927,0.69512,0.09146,37.32241
-2.08537,0.69512,0.06098,37.42638
-2.09146,0.68903,0.07317,37.53029
-2.09756,0.68903,0.06707,37.63412
-2.09756,0.68903,0.05488,37.73794
-2.10976,0.70732,0.06098,37.84179
-2.10976,0.72561,0.06708,37.94562
-2.10976,0.71951,0.04878,38.04947
-2.07927,0.72561,0.05488,38.15333
-2.08537,0.73171,0.04878,38.25718
-2.07317,0.74390,0.05488,38.36103
-2.06707,0.71951,0.03049,38.46488
-2.08537,0.71342,-1.54268,38.56870
-2.10976,0.69512,-1.54878,38.67262
-2.10976,0.69512,-1.55488,38.77654
-2.10976,0.67683,-1.56707,38.88044
-2.12195,0.68902,-1.53049,38.98431
-2.09756,0.69512,0.03659,39.08818
-2.10366,0.69512,0.05488,39.19203
-2.11586,0.69512,0.07317,39.29588
-2.10976,0.68903,0.07317,39.39975
-2.10976,0.68293,0.04268,39.50362
-2.10366,0.68293,0.04268,39.60748
-2.08537,0.70122,0.03049,39.71135
-2.07317,0.68903,0.03049,39.81523
-2.07927,0.69512,0.04878,39.91915
-2.07317,0.70122,0.05488,40.02303
-2.07927,0.71342,0.04878,40.12687
-2.07927,0.71951,0.05488,40.23075
-2.08537,0.75610,0.04268,40.33460
-2.09146,0.77439,0.03658,40.43845
-2.09146,0.76830,0.03049,40.54235
-2.09756,0.75610,0.03049,40.64628
-2.10366,0.75610,0.00610,40.75027
-2.09756,0.73781,0.00610,40.85439
